type_of_request,desc_level,noise_level,number_train_samples_per_class,number_test_samples,is_adversarial,seeds,test_set_slug,shot_slug,row_slug
direct,high,none,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-anchor
direct,high,none,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-anchor
direct,high,none,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-anchor
direct,high,low,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-cloud
direct,high,low,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-cloud
direct,high,low,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-cloud
direct,high,high,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-pine
direct,high,high,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-pine
direct,high,high,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-pine
direct,low,none,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-prairie
direct,low,none,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-prairie
direct,low,none,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-prairie
direct,low,low,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-spruce
direct,low,low,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-spruce
direct,low,low,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-spruce
direct,low,high,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-comet
direct,low,high,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-comet
direct,low,high,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-comet
direct,none,none,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-meadow
direct,none,none,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-meadow
direct,none,none,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-meadow
direct,none,low,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-river
direct,none,low,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-river
direct,none,low,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-river
direct,none,high,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-harbor
direct,none,high,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-harbor
direct,none,high,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-harbor
code,high,none,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-willow
code,high,none,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-willow
code,high,none,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-willow
code,high,low,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-flame
code,high,low,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-flame
code,high,low,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-flame
code,high,high,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-orbit
code,high,high,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-orbit
code,high,high,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-orbit
code,low,none,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-trail
code,low,none,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-trail
code,low,none,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-trail
code,low,low,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-island
code,low,low,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-island
code,low,low,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-island
code,low,high,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-glade
code,low,high,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-glade
code,low,high,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-glade
code,none,none,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-canyon
code,none,none,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-canyon
code,none,none,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-canyon
code,none,low,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-ember
code,none,low,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-ember
code,none,low,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-ember
code,none,high,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-tide
code,none,high,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-tide
code,none,high,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-tide
open-ended,high,none,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-crest
open-ended,high,low,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-star
open-ended,high,high,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-forest
open-ended,low,none,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-lagoon
open-ended,low,low,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-quartz
open-ended,low,high,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-dawn
open-ended,none,none,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-summit
open-ended,none,low,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-aurora
open-ended,none,high,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-valley
